・0157

◆ バクフーンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
かわらわり	かくとう	物理	75	100	16	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
カウンター	かくとう	物理	-	100	20	○	相手の物理攻撃のダメージの2倍をその相手に与える。『ダブルバトル』の時は最後に受けた技のみ有効になる。必ず後攻になる(優先度:-5)。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
けたぐり	かくとう	物理	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
きあいだま	かくとう	特殊	120	70	8	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
サイコファング	エスパー	物理	85	100	12	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
こうそくいどう	エスパー	変化	-	-	20	×	自分の『すばやさ』ランクが2段階上がる。
シャドークロー	ゴースト	物理	70	100	16	○	急所に当たりやすい(急所ランク:+1)。
うらみ	ゴースト	変化	-	100	12	×	相手の最後に使った技のPPを4減らす。
のろい	ゴースト	変化	-	-	12	×	自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。
げきりん	ドラゴン	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
ドラゴンクロー	ドラゴン	物理	80	100	16	○	通常攻撃。
ワイドブレイカー	ドラゴン	物理	60	100	16	○	相手全体が対象。100%の確率で相手の『こうげき』ランクを1段階下げる。
ドラゴンテール	ドラゴン	物理	60	90	12	○	必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
スケイルショット	ドラゴン	物理	25	90	20	×	1ターンに2~5回連続で攻撃する。その後、自分の『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。
りゅうのはどう	ドラゴン	特殊	85	100	12	×	通常攻撃。
りゅうのまい	ドラゴン	変化	-	-	20	×	自分の『こうげき』『すばやさ』ランクを1段階ずつ上げる。
かみくだく	あく	物理	80	100	16	○	20%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
うっぷんばらし	あく	物理	75	100	8	○	そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクを下げられた場合も対象となる)。
ぶんまわす	あく	物理	60	100	20	○	自分以外全員が対象。通常攻撃。
どろぼう	あく	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
かみつく	あく	物理	60	100	20	○	30%の確率で相手をひるませる。
なげつける	あく	物理	-	100	12	×	自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
バークアウト	あく	特殊	55	95	16	×	相手全体が対象。100%の確率で相手の『とくこう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
うそなき	あく	変化	-	100	20	×	相手の『とくぼう』ランクを2段階下げる。
おだてる	あく	変化	-	100	16	×	相手を1~4ターンの間『こんらん』状態にするが、相手の『とくこう』ランクを1段階上げてしまう。
アイアンテール	はがね	物理	100	75	16	○	30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。

・0168

◆ アリアドスが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
バトンタッチ	ノーマル	変化	-	-	20	×	他の味方のポケモンと交代し、かかっていた補助効果を引き継ぐ。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
こわいかお	ノーマル	変化	-	100	12	×	相手の『すばやさ』ランクを2段階下げる。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
きあいだめ	ノーマル	変化	-	-	20	×	『きゅうしょアップ』状態(急所ランク2段階)となり、今後自分の技が急所に当たりやすくなる。(すでに『きゅうしょアップ』状態の時は失敗する)
いやなおと	ノーマル	変化	-	85	20	×	相手の『ぼうぎょ』ランクを2段階下げる。音系の技。相手の『みがわり』状態を貫通する。
かなしばり	ノーマル	変化	-	100	20	×	相手が最後に使った技を4ターンの間使えなくする。
つるぎのまい	ノーマル	変化	-	-	20	×	自分の『こうげき』ランクを2段階上げる。
くさわけ	くさ	物理	50	100	20	○	100%の確率で自分の『すばやさ』ランクが1段階上がる。
